W,Model,AUC,F1,Precision,Recall,Threshold
1000,IsolationForest,0.8698026315789474,0.9440758293838862,0.8972972972972973,0.996,-0.0572549917204752
1000,OC-SVM,0.986157894736842,0.9734513274336284,0.9574468085106383,0.99,-0.0110757996312425
1000,LOF,0.9966315789473684,0.9801980198019802,0.9705882352941176,0.99,-0.318032299093988
300,PatchCore,0.8080057215706513,0.8786473956913008,0.8083291520321124,0.9623655913978496,4.428866342160301
300,Autoencoder,0.8722296451824989,0.908464849354376,0.8741027056874655,0.9456391875746716,0.1325639635324478
400,PatchCore,0.8558563645679748,0.8835280814172635,0.8383404864091559,0.9338645418326692,4.738006808171399
400,Autoencoder,0.9047421861111984,0.9246987951807228,0.8765167737330478,0.9784860557768924,0.1527983099222183
500,PatchCore,0.8363142136779074,0.8886783514921838,0.8458070333633905,0.936127744510978,4.774897381590197
500,Autoencoder,0.9159181636726548,0.9280230326295584,0.8937153419593346,0.9650698602794412,0.1736453920602798
600,PatchCore,0.8600996496251366,0.891832229580574,0.8278688524590164,0.9665071770334928,4.646978941467538
600,Autoencoder,0.9171062050258072,0.9223638470451913,0.8943820224719101,0.9521531100478468,0.217182844877243
700,PatchCore,0.9518059882089436,0.9337704918032786,0.8800988875154512,0.994413407821229,5.176889743486082
700,Autoencoder,0.937434029297428,0.9400544959128064,0.9175531914893617,0.9636871508379888,0.2669397592544555
800,PatchCore,0.923780743725342,0.9194167306216424,0.886094674556213,0.9553429027113236,5.217219529219927
800,Autoencoder,0.9783345924620162,0.9692186266771902,0.959375,0.9792663476874004,0.2878708839416504
900,PatchCore,0.9548192451106412,0.9401251117068812,0.9359430604982206,0.9443447037701976,5.5769874952969145
900,Autoencoder,0.9532894946511852,0.9587357330992098,0.9381443298969072,0.9802513464991024,0.3513075113296509
1000,PatchCore,0.9684605263157894,0.9422492401215804,0.9548254620123204,0.93,5.783406276287266
1000,Autoencoder,0.9801842105263158,0.9658634538152612,0.969758064516129,0.962,0.4253552556037903
300,VAE,0.7514957854081097,0.8831521739130435,0.8100697906281157,0.9707287933094384,0.2857744395732879
300,DeepSVDD,0.6573378907952936,0.8687078360145304,0.7678899082568807,1.0,6.227513154044573e-07
300,TeacherStudent,0.7681821288107475,0.8727368144843873,0.7781937295273749,0.9934289127837514,0.0010001340415328
300,SSL_DAE,0.8746485876345265,0.9144324015972618,0.875,0.9575866188769414,0.1474240571260452
400,VAE,0.7293137162635547,0.8819122368890474,0.7984496124031008,0.9848605577689244,0.2859384417533874
400,DeepSVDD,0.6958224843408518,0.8682116914562436,0.7671149144254279,1.0,2.3350382960529717e-08
400,TeacherStudent,0.8280913093034685,0.8952959028831563,0.8544532947139754,0.9402390438247012,0.0023646308109164
400,SSL_DAE,0.8817182712718679,0.9107835531419706,0.8873771730914588,0.9354581673306772,0.1932921409606933
500,VAE,0.7567266782225025,0.8991248272685398,0.834901625320787,0.9740518962075848,0.3950623273849487
500,DeepSVDD,0.726264576110936,0.8686605981794538,0.767816091954023,1.0,1.7118097161983314e-08
500,TeacherStudent,0.9374540392898412,0.9328891004283676,0.89171974522293,0.9780439121756488,0.0039671557024121
500,SSL_DAE,0.9257800189095492,0.9352167559668776,0.9134157944814464,0.9580838323353292,0.2215350866317749
600,VAE,0.8097002976302604,0.8948521358159912,0.8252525252525252,0.9772727272727272,0.3766670227050781
600,DeepSVDD,0.8276899747579399,0.8844056706652127,0.812625250501002,0.9700956937799045,5.989816054352559e-05
600,TeacherStudent,0.91630561730023,0.9216018048505358,0.871931696905016,0.9772727272727272,0.003915749490261
600,SSL_DAE,0.9184248201032288,0.9285714285714286,0.8955555555555555,0.9641148325358851,0.2299582064151764
700,VAE,0.7770512061375279,0.9008317338451696,0.8311688311688312,0.9832402234636872,0.419077605009079
700,DeepSVDD,0.8150567669850424,0.8689320388349514,0.7682403433476395,1.0,3.446677681040456e-07
700,TeacherStudent,0.9459040238910486,0.9462219196732472,0.9229747675962816,0.9706703910614524,0.0056485156528651
700,SSL_DAE,0.9612800247148778,0.9517335146159076,0.9271523178807948,0.9776536312849162,0.2677009105682373
800,VAE,0.9008981784605052,0.9412662090007629,0.902046783625731,0.9840510366826156,0.7022987604141235
800,DeepSVDD,0.6166163015193485,0.5005767012687428,0.9041666666666668,0.3460925039872408,2.615874628020265e-09
800,TeacherStudent,0.9623100814236548,0.9547581903276132,0.934351145038168,0.9760765550239234,0.0071992580778896
800,SSL_DAE,0.9754302023000084,0.9711163153786104,0.9510703363914372,0.9920255183413078,0.2923802137374878
900,VAE,0.9053148205199028,0.9477292202227936,0.9065573770491804,0.992818671454219,0.7103549242019653
900,DeepSVDD,0.7977861111406199,0.8682774746687452,0.7672176308539945,1.0,1.0602393558656331e-06
900,TeacherStudent,0.9555416272720512,0.9488291413703382,0.9177852348993288,0.9820466786355476,0.0065332911908626
900,SSL_DAE,0.9820041855672292,0.9659498207885304,0.964221824686941,0.9676840215439856,0.3992117047309875
1000,VAE,0.9218815789473684,0.9498525073746312,0.9342359767891684,0.966,0.8523432016372681
1000,DeepSVDD,0.7474868421052632,0.8576998050682261,0.8365019011406845,0.88,0.000216598258703
1000,TeacherStudent,0.9947105263157896,0.977867203219316,0.9838056680161944,0.972,0.0154661126434803
1000,SSL_DAE,0.980842105263158,0.9647532729103726,0.9716024340770792,0.958,0.4693636894226074
